date,daily_notional,daily_pnl_1d,cum_pnl_1d,daily_pnl_3d,cum_pnl_3d,daily_pnl_5d,cum_pnl_5d,daily_pnl_10d,cum_pnl_10d,daily_pnl_20d,cum_pnl_20d,daily_pnl_30d,cum_pnl_30d
2023-03-17,500001.0,7741.870482068621,7741.870482068621,9129.045576062867,9129.045576062867,16935.491622786692,16935.491622786692,31935.515625056232,31935.515625056232,33000.06280121042,33000.06280121042,47064.59079446179,47064.59079446179
2023-06-15,750002.0,-9752.82966580965,-2010.959183741029,-23640.081832685017,-14511.03625662215,-17887.276343408175,-951.7847206214828,-160.53926819835033,31774.976356857882,7321.208503751923,40321.27130496234,-3463.2878038358213,43601.30299062596
2023-11-22,1000001.0,-19295.438190827823,-21306.397374568853,-18371.57785721349,-32882.61411383564,-39945.63645865804,-40897.421179279525,-43433.346347448554,-11658.369990590672,5712.88901462989,46034.16031959223,72699.03197407677,116300.33496470274
2024-02-21,100001.0,2233.1047739501014,-19073.29260061875,15578.274408674602,-17304.339705161037,20681.961378494736,-20215.45980078479,6447.361511622529,-5211.008478968143,7665.071297691943,53699.231617284175,1232.9821244367433,117533.31708913948
2024-06-26,1000001.0,-19066.456813384113,-38139.749414002865,-16613.967371089384,-33918.30707625042,14873.335151925023,-5342.124648859766,7911.470546514129,2700.4620675459855,-111709.04621469334,-58009.81459740917,-169541.40676452097,-52008.08967538149
2024-07-01,500001.0,-9478.179323908254,-47617.92873791112,-13523.921648847523,-47442.22872509794,-4178.915387548726,-9521.040036408493,-11415.57374159652,-8715.111674050535,265.7576450483024,-57744.056952360865,4916.222193308287,-47091.8674820732
2024-07-26,1000001.0,-13001.96049563802,-60619.88923354914,35025.62060708387,-12416.608118014075,-51211.924833670426,-60732.96487007892,-73500.77813883983,-82215.88981289037,144259.83132933086,86515.77437696999,-58287.68162292671,-105379.54910499991
2024-12-20,250001.0,9224.232961355416,-51395.65627219372,9706.823349451155,-2709.7847685629204,5178.179283127665,-55554.78558695126,10096.57847474738,-72119.31133814299,23236.946739231804,109752.72111620179,-11172.980258491772,-116552.52936349169
2024-12-31,1000001.0,-29935.19549140271,-81330.85176359644,-112741.18744861727,-115450.9722171802,-43339.017761075396,-98893.80334802665,5361.483442671341,-66757.82789547165,105890.37779120516,215643.09890740697,-33956.364904903385,-150508.8942683951
2025-01-14,550003.0,19772.05384546085,-61558.79791813559,25895.98852562643,-89554.98369155376,78102.9057755192,-20790.89757250744,36628.406729031514,-30129.421166440137,77702.79769234826,293345.8965997552,4484.247190281694,-146024.6470781134
2025-12-24,7000003.0,-3295.7741752299758,-64854.57209336557,18358.458029113655,-71196.52566244011,75160.60234404035,54369.70477153291,219019.14919110236,188889.72802466224,321353.1260391536,614699.0226389088,74750.37537068546,-71274.27170742794
2025-12-30,8750006.0,41168.45899987214,-23686.113093493426,104651.45842257241,33454.9327601323,230997.38727120662,285367.0920427395,245719.2661840851,434608.99420874735,258911.94506460847,873610.9677035173,407053.27086564916,335778.99915822124
2026-01-16,500001.0,-12121.209161662964,-35807.32225515639,818.217131710253,34273.14989184256,4939.425470391778,290306.51751313126,20742.496046255757,455351.4902550031,-42394.03997859304,831216.9277249243,-40030.40442342575,295748.5947347955
