ticker,trades,buys,sales,total_notional,avg_post_5d,avg_post_1d
AAPL,4,2,2,10750004.0,-0.018763320133964544,-0.019277460721806635
NVDA,8,5,3,6500008.0,-0.007662231027212122,0.025753999412731834
GOOGL,3,2,1,2000003.0,0.010235935739176505,0.005417836067271426
AMZN,2,1,1,1250002.0,0.020686321492521698,0.012103002049545961
DIS,1,0,1,1000001.0,-0.016399347988580795,-0.002973456403662467
MSFT,1,1,0,500001.0,-0.013717553703382696,-0.013805927085981967
V,1,0,1,500001.0,0.01949814393045971,-0.0028332522094608376
PYPL,1,0,1,250001.0,0.06941009434516911,0.00035322842127101414
PANW,1,1,0,100001.0,0.07199829069537866,0.07334539583113585
TEM,1,1,0,50001.0,0.4753911339710769,0.35533420545014405
