trade_id,person,doc_id,txn_num,owner,asset_name,action,transaction_date,disclosure_date,amount_min,amount_max,asset_class,ticker,source_doc
50414ba377e4,Nancy Pelosi,pelosi_ptr_20022664,2,,AAPL,purchase,2023-03-17,2023-04-06,500001.0,1000000.0,equity,AAPL,pelosi_ptr_20022664.pdf
9f441759a034,Nancy Pelosi,pelosi_ptr_20022664,1,SP,"REOF XXV, LLC [AB]",purchase,2023-03-09,2023-04-06,500001.0,1000000.0,other,,pelosi_ptr_20022664.pdf
044cb483f870,Nancy Pelosi,pelosi_ptr_20023192,1,SP,Microsoft Corporation (MSFT) [ST],purchase,2023-06-15,2023-06-22,500001.0,1000000.0,equity,MSFT,pelosi_ptr_20023192.pdf
708e9596c520,Nancy Pelosi,pelosi_ptr_20023192,2,,AAPL,purchase,2023-06-15,2023-06-22,250001.0,500000.0,equity,AAPL,pelosi_ptr_20023192.pdf
6ac9b2a017dd,Nancy Pelosi,pelosi_ptr_20024186,1,,NVDA,purchase,2023-11-22,2023-12-21,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20024186.pdf
32d207a78905,Nancy Pelosi,pelosi_ptr_20024542,1,SP,"Palo Alto Networks, Inc. (PANW)",purchase,2024-02-21,2024-02-23,100001.0,250000.0,equity,PANW,pelosi_ptr_20024542.pdf
ccf6fa87e1ad,Nancy Pelosi,pelosi_ptr_20025368,4,,NVDA,sale,2024-06-24,2024-07-02,,,equity,NVDA,pelosi_ptr_20025368.pdf
e949e584295d,Nancy Pelosi,pelosi_ptr_20025368,2,SP,Visa Inc. (V) [ST],sale,2024-07-01,2024-07-02,500001.0,1000000.0,equity,V,pelosi_ptr_20025368.pdf
a1a1454920e8,Nancy Pelosi,pelosi_ptr_20025368,1,SP,NVIDIA Corporation - Common,purchase,2024-06-26,2024-07-02,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20025368.pdf
f03b809f939a,Nancy Pelosi,pelosi_ptr_20025368,3,,AVGO,purchase,2024-06-26,2024-07-02,,,equity,AVGO,pelosi_ptr_20025368.pdf
80fe88129b91,Nancy Pelosi,pelosi_ptr_20025535,2,,MSFT,purchase,2024-07-26,2024-07-30,,,equity,MSFT,pelosi_ptr_20025535.pdf
c07850e10fa1,Nancy Pelosi,pelosi_ptr_20025535,1,SP,NVIDIA Corporation - Common Stock,purchase,2024-07-26,2024-07-30,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20025535.pdf
ff5a7fbab46e,Nancy Pelosi,pelosi_ptr_20026590,7,SP,"Tempus AI, Inc. - Class A Common",purchase,2025-01-14,2025-01-17,50001.0,100000.0,equity,TEM,pelosi_ptr_20026590.pdf
78224697a696,Nancy Pelosi,pelosi_ptr_20026590,4,,GOOGL,purchase,2025-01-14,2025-01-17,,,equity,GOOGL,pelosi_ptr_20026590.pdf
43ec97260915,Nancy Pelosi,pelosi_ptr_20026590,1,SP,"Amazon.com, Inc. - Common Stock",purchase,2025-01-14,2025-01-17,250001.0,500000.0,equity,AMZN,pelosi_ptr_20026590.pdf
9f69cd269888,Nancy Pelosi,pelosi_ptr_20026590,3,SP,NVIDIA Corporation - Common,purchase,2025-01-14,2025-01-17,250001.0,500000.0,equity,NVDA,pelosi_ptr_20026590.pdf
d7dbca2f0838,Nancy Pelosi,pelosi_ptr_20026590,5,,NVIDIA Corporation - Common,purchase,2024-12-20,2025-01-17,250001.0,500000.0,equity,NVDA,pelosi_ptr_20026590.pdf
1e1007b3b3a0,Nancy Pelosi,pelosi_ptr_20026590,2,SP,NVIDIA Corporation - Common,sale,2024-12-31,2025-01-17,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20026590.pdf
5a216c3d642f,Nancy Pelosi,pelosi_ptr_20030630,1,SP,Matthews International Mutual Fund,sale,2025-06-20,2025-07-09,15001.0,50000.0,other,,pelosi_ptr_20030630.pdf
e8e82b7e6641,Nancy Pelosi,pelosi_ptr_20030630,2,,AVGO,sale,2025-06-20,2025-07-09,,,equity,AVGO,pelosi_ptr_20030630.pdf
e309ba775f30,Nancy Pelosi,pelosi_ptr_20033725,4,,AB,purchase,2026-01-16,2026-01-23,,,equity,AB,pelosi_ptr_20033725.pdf
01d8b4a71804,Nancy Pelosi,pelosi_ptr_20033725,11,,NVDA,purchase,2026-01-16,2026-01-23,,,equity,NVDA,pelosi_ptr_20033725.pdf
e576b61ca270,Nancy Pelosi,pelosi_ptr_20033725,10,,AMZN,purchase,2025-12-30,2026-01-23,,,equity,AMZN,pelosi_ptr_20033725.pdf
7443a3a81e83,Nancy Pelosi,pelosi_ptr_20033725,6,SP,Apple Inc. - Common Stock (AAPL),sale,2025-12-24,2026-01-23,5000001.0,25000000.0,equity,AAPL,pelosi_ptr_20033725.pdf
240f401c83f3,Nancy Pelosi,pelosi_ptr_20033725,13,,PYPL,purchase,2026-01-16,2026-01-23,,,equity,PYPL,pelosi_ptr_20033725.pdf
f4b7b4d69c52,Nancy Pelosi,pelosi_ptr_20033725,5,,Alphabet Inc. - Class A Common,purchase,2025-12-30,2026-01-23,500001.0,1000000.0,equity,GOOGL,pelosi_ptr_20033725.pdf
22b1a53b67c9,Nancy Pelosi,pelosi_ptr_20033725,1,SP,Alphabet Inc. - Class A Common,purchase,2026-01-16,2026-01-23,500001.0,1000000.0,equity,GOOGL,pelosi_ptr_20033725.pdf
c69f9ff4cbd2,Nancy Pelosi,pelosi_ptr_20033725,15,SP,Walt Disney Company (DIS) [ST],sale,2025-12-30,2026-01-23,1000001.0,5000000.0,equity,DIS,pelosi_ptr_20033725.pdf
f08179192b4d,Nancy Pelosi,pelosi_ptr_20033725,12,,NVIDIA Corporation - Common Stock,sale,2025-12-30,2026-01-23,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20033725.pdf
d038f9ef30da,Nancy Pelosi,pelosi_ptr_20033725,8,SP,NVIDIA Corporation - Common Stock,sale,2025-12-24,2026-01-23,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20033725.pdf
84d900dd3d1a,Nancy Pelosi,pelosi_ptr_20033725,3,SP,"Amazon.com, Inc. - Common Stock",sale,2025-12-24,2026-01-23,1000001.0,5000000.0,equity,AMZN,pelosi_ptr_20033725.pdf
f3c03701a055,Nancy Pelosi,pelosi_ptr_20033725,2,SP,Alphabet Inc. - Class A Common,sale,2025-12-30,2026-01-23,1000001.0,5000000.0,equity,GOOGL,pelosi_ptr_20033725.pdf
4cdc86b134e6,Nancy Pelosi,pelosi_ptr_20033725,7,SP,Apple Inc. - Common Stock (AAPL),sale,2025-12-30,2026-01-23,5000001.0,25000000.0,equity,AAPL,pelosi_ptr_20033725.pdf
57aa76e965ea,Nancy Pelosi,pelosi_ptr_20033725,9,SP,"PayPal Holdings, Inc. - Common",sale,2025-12-30,2026-01-23,250001.0,500000.0,equity,PYPL,pelosi_ptr_20033725.pdf
dcf0955bd178,Nancy Pelosi,pelosi_ptr_20033725,17,,VSNT,purchase,2026-01-16,2026-01-23,,,equity,VSNT,pelosi_ptr_20033725.pdf
